name,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
John,Bread,Cookies,Bananas,Carrots,Apples,Brioche,Jam,Cheese,Cola,Chicken
Jane,Vanilla,Meat,Eggs,,,,,,,
Nani Lola,Garlic,,,,,,,,,
Sophie,Butter,Bananas,,,,,,,,
Leo,Water,Milk,Snack,Pepper,Limonade,,,,,
Robert,Fish,,,,,,,,,
John,Cake,Juice,,,,,,,,
Jane,Croissant,Chilli Pepper,Soda,,,,,,,
Nani Lola,Oignons,Donuts,Limonade,,,,,,,
Sophie,Juice,,,,,,,,,
Leo,Eggs,Chilli Pepper,,,,,,,,
Robert,Cookies,,,,,,,,,
John,Butter,Vanilla,Water,Eggs,Olive Oil,,,,,
Jane,Donuts,Juice,Cookies,,,,,,,
Nani Lola,Water,Salmon,,,,,,,,
Sophie,Water,,,,,,,,,
Leo,Bread,Chocolate,Chicken,Pineapple,Water,Olive Oil,Fish,,,
Robert,Butter,Eggs,,,,,,,,
John,Butter,Fish,Tomatoes,Donuts,Water,Dorritos,Salmon,Eggs,Chicken,Garlic
Jane,Meat,Milk,Pineapple,Juice,Chips,,,,,
Nani Lola,Salt,Bread,Chips,Pepper,Eggs,Chocolate,Water,,,
Sophie,Apples,Chips,,,,,,,,
Leo,Donuts,Water,Pineapple,Chips,Sugar,Limonade,,,,
Robert,Vanilla,Dorritos,Bread,Chips,Bananas,Pineapple,Oranges,Soda,,
John,Eggs,,,,,,,,,
Jane,Jam,Donuts,Croissant,Bananas,Milk,Bread,,,,
Nani Lola,Croissant,Donuts,Water,Milk,Snack,Dorritos,Salmon,Corn,Chicken,
Sophie,Chips,,,,,,,,,
Leo,Water,Eggs,Chicken,Chocolate,Juice,,,,,
Robert,Oignons,Donuts,Jam,Water,,,,,,
John,Oignons,Pie,Chilli Pepper,Tomatoes,,,,,,
Jane,Water,Chocolate,Bananas,Eggs,,,,,,
Nani Lola,Butter,Juice,Bananas,,,,,,,
Sophie,Oignons,Cheese,Chocolate,,,,,,,
Leo,Cookies,,,,,,,,,
Robert,Sugar,Donuts,Salmon,Chicken,,,,,,
John,Snack,Juice,,,,,,,,
Jane,Salt,Croissant,Water,,,,,,,
Nani Lola,Water,Cake,Cheese,,,,,,,
Sophie,Sugar,Juice,Limonade,,,,,,,
Leo,Donuts,,,,,,,,,
Robert,Fish,Oignons,Donuts,Water,Pineapple,Pepper,Corn,Chicken,,
John,Donuts,,,,,,,,,
Jane,Croissant,Meat,Tomatoes,Chips,,,,,,
Nani Lola,Chicken,,,,,,,,,
